Time,ID,Name,Event Category,Event Action
202109181640,B1061,A1061,View,第十一單元 01 網路爬蟲簡介 - PIPLS - /332278/01
202109181641,B1043,A1043,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109181641,B1043,A1043,View Resource,Week 12 參考解答 - PIPLS - /333545/week-12
202109181642,B1043,A1043,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109181642,B1043,A1043,View Question,Week 12 Homework 4 - PIPLS - /333429/week-12-homework-4
202109181657,B1043,A1043,Post Answer,Week 12 Homework 4 - PIPLS - //333429/week-12-homework-4
202109181657,B1043,A1043,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109181657,B1043,A1043,View Question,Week 12 Homework 4 - PIPLS - /333429/week-12-homework-4
202109181707,B1043,A1043,View Question,Week 12 Homework 3 - PIPLS - /333428/week-12-homework-3
202109181710,B1043,A1043,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109181711,B1043,A1043,View PDF,第五單元投影片 - PIPLS - /328108
202109181711,B1043,A1043,View Resource,第五單元投影片 - PIPLS - /328108
202109181712,B1043,A1043,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109181712,B1043,A1043,View PDF,第五單元投影片 - PIPLS - /328108
202109181719,B1026,A1026,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109181719,B1026,A1026,View Resource,期末考試規定 - PIPLS - /333746
202109181726,B1043,A1043,View Question,Week 12 Homework 5 - PIPLS - /333431/week-12-homework-5
202109181746,B1042,A1042,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109181746,B1042,A1042,View Question List,No questions in Week 13(期末考) - PIPLS - /questions/2021-summer-初-級-程-式-設-計-python/week-13-期-末-考
202109181747,B1042,A1042,View Resource,期末考試規定 - PIPLS - /333746
202109181751,B1042,A1042,View Error,QUESTION_OVERDUE - /332276/week-10-homework-8
202109181751,B1042,A1042,View Error,QUESTION_NOT_IN_CURRENT_COURSE - /333792
202109181751,B1042,A1042,View Error,QUESTION_NOT_IN_CURRENT_COURSE - /333811/final-exam-2
202109181751,B1042,A1042,View Error,QUESTION_OVERDUE - /332897/week-11-homework-5
202109181751,B1042,A1042,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109181751,B1042,A1042,View Question List,Recent questions - PIPLS - /questions
202109181751,B1042,A1042,View Select Course,Select your course - PIPLS - /selectcourse
202109181755,B1013,A1013,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109181755,B1013,A1013,View Question,Week 12 Homework 1 - PIPLS - /333426/week-12-homework-1
202109181755,B1013,A1013,View Question List,No questions in Week 13(期末考) - PIPLS - /questions/2021-summer-初-級-程-式-設-計-python/week-13-期-末-考
202109181755,B1013,A1013,View Resource,第七單元投影片 - PIPLS - /330120
202109181755,B1013,A1013,View Resource,第六單元投影片 - PIPLS - /328987
202109181755,B1013,A1013,View Resource,第三單元投影片 - PIPLS - /326271
202109181755,B1013,A1013,View Resource,第五單元投影片 - PIPLS - /328108
202109181756,B1013,A1013,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109181756,B1013,A1013,View PDF,第九單元投影片 - PIPLS - /331376
202109181756,B1013,A1013,View Resource,第九單元投影片 - PIPLS - /331376
202109181800,B1013,A1013,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109181800,B1013,A1013,View Question List,No questions in Week 13(期末考) - PIPLS - /questions/2021-summer-初-級-程-式-設-計-python/week-13-期-末-考
202109181801,B1013,A1013,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109181801,B1013,A1013,View Question List,No questions in Week 13(期末考) - PIPLS - /questions/2021-summer-初-級-程-式-設-計-python/week-13-期-末-考
202109181823,B1074,A1074,View Home,2021-1-C Language - PIPLS - /home_pipls
202109181824,B1074,A1074,View Question,關於課程.. - PIPLS - /333790
202109181825,B1074,A1074,View Home,2021-1-C Language - PIPLS - /home_pipls
202109181825,B1074,A1074,View Question,課程宗旨 - PIPLS - /333792
202109181826,B1074,A1074,View Home,2021-1-C Language - PIPLS - /home_pipls
202109181859,B1028,A1028,Post Answer,Week 12 Homework 7 - PIPLS - /333433/week-12-homework-7
202109181900,B1028,A1028,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109181900,B1028,A1028,View Question,Week 12 Homework 8 - PIPLS - /333434/week-12-homework-8
202109181901,B1028,A1028,View Question,Week 12 Homework 8 - PIPLS - /333434/week-12-homework-8
202109181917,B1028,A1028,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109181917,B1028,A1028,View Question,Week 12 Homework 8 - PIPLS - /333434/week-12-homework-8
202109181917,B1028,A1028,View Resource,Week11 詳解 - PIPLS - /333425/week11
202109181929,B1002,A1002,Video Play,第十單元 04 圖形介面設計進階一 - PIPLS - /331760/04
202109181930,B1002,A1002,Video Pause,第十單元 04 圖形介面設計進階一 - PIPLS - /331760/04
202109181930,B1002,A1002,Video Play,第十單元 04 圖形介面設計進階一 - PIPLS - /331760/04
202109181930,B1002,A1002,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109181930,B1002,A1002,View Question List,Week 12 (考前練習，不計分) 中最新問題 - PIPLS - /questions/2021-summer-初-級-程-式-設-計-python/week-12-考-前-練-習-，-不-計-分
202109181930,B1002,A1002,View Resource,考試注意事項 - PIPLS - /333435
202109181932,B1049,A1049,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109181935,B1049,A1049,View Question,Week 12 Homework 8 - PIPLS - /333434/week-12-homework-8
202109181935,B1049,A1049,View Resource,Week 12 參考解答 - PIPLS - /333545/week-12
202109181949,B1028,A1028,View,第十二單元 02 檔案寫入 - PIPLS - /332907/02
202109181950,B1075,A1075,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109181951,B1075,A1075,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109181951,B1075,A1075,View Question List,No questions in Week 13(期末考) - PIPLS - /questions/2021-summer-初-級-程-式-設-計-python/week-13-期-末-考
202109182008,B1075,A1075,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109182027,B1028,A1028,View Resource,Week 12 參考解答 - PIPLS - /333545/week-12
202109182038,B1002,A1002,Video Pause,第十單元 04 圖形介面設計進階一 - PIPLS - /331760/04
202109182038,B1002,A1002,Video Play,第十單元 04 圖形介面設計進階一 - PIPLS - /331760/04
202109182050,B1005,A1005,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109182050,B1005,A1005,View Question,Week 12 Homework 6 - PIPLS - /333432/week-12-homework-6
202109182051,B1005,A1005,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109182051,B1005,A1005,View Question,Week 12 Homework 5 - PIPLS - /333431/week-12-homework-5
202109182113,B1076,A1076,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109182113,B1076,A1076,View Question,Week 12 Homework 5 - PIPLS - /333431/week-12-homework-5
202109182113,B1076,A1076,View Question List,Week 13(期末考) 中沒有問題 - PIPLS - /questions/2021-summer-初-級-程-式-設-計-python/week-13-期-末-考
202109182113,B1076,A1076,View Resource,期末考試規定 - PIPLS - /333746
202109182114,B1076,A1076,View Error,QUESTION_OVERDUE - /332906/week-11-homework-7
202109182114,B1076,A1076,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109182114,B1076,A1076,View Resource,期末考試規定 - PIPLS - /333746
202109182121,B1002,A1002,Video Play,第十單元 04 圖形介面設計進階一 - PIPLS - /331760/04
202109182122,B1002,A1002,Video Pause,第十單元 04 圖形介面設計進階一 - PIPLS - /331760/04
202109182136,B1002,A1002,Video Pause,第十單元 04 圖形介面設計進階一 - PIPLS - /331760/04
202109182136,B1002,A1002,Video Play,第十單元 04 圖形介面設計進階一 - PIPLS - /331760/04
202109182143,B1002,A1002,Video Pause,第十單元 04 圖形介面設計進階一 - PIPLS - /331760/04
202109182143,B1002,A1002,Video Play,第十單元 04 圖形介面設計進階一 - PIPLS - /331760/04
202109182143,B1002,A1002,View Question List,Week 9 中最新問題 - PIPLS - /questions/2021-summer-初-級-程-式-設-計-python/week-9
202109182144,B1002,A1002,View Error,QUESTION_NOT_IN_CURRENT_COURSE - /333792
202109182144,B1002,A1002,View Error,QUESTION_NOT_IN_CURRENT_COURSE - /333778
202109182144,B1002,A1002,View Error,QUESTION_NOT_IN_CURRENT_COURSE - /333803/hello-world
202109182144,B1002,A1002,View Error,QUESTION_NOT_IN_CURRENT_COURSE - /333811/final-exam-2
202109182144,B1002,A1002,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109182144,B1002,A1002,View Question List,最新問題 - PIPLS - /questions
202109182144,B1002,A1002,View Question List,Week 12 (考前練習，不計分) 中最新問題 - PIPLS - /questions/2021-summer-初-級-程-式-設-計-python/week-12-考-前-練-習-，-不-計-分
202109182144,B1002,A1002,View Question List,Week 13(期末考) 中沒有問題 - PIPLS - /questions/2021-summer-初-級-程-式-設-計-python/week-13-期-末-考
202109182144,B1002,A1002,View Resource,Week 12 參考解答 - PIPLS - /333545/week-12
202109182156,B1008,A1008,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109182157,B1008,A1008,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109182157,B1008,A1008,View Question,Week 12 Homework 8 - PIPLS - /333434/week-12-homework-8
202109182157,B1008,A1008,View Question,Week 12 Homework 7 - PIPLS - /333433/week-12-homework-7
202109182157,B1008,A1008,View Question,Week 12 Homework 6 - PIPLS - /333432/week-12-homework-6
202109182157,B1008,A1008,View Question,Week 12 Homework 5 - PIPLS - /333431/week-12-homework-5
202109182157,B1008,A1008,View Question List,Week 12 (考前練習，不計分) 中最新問題 - PIPLS - /questions/2021-summer-初-級-程-式-設-計-python/week-12-考-前-練-習-，-不-計-分
202109182157,B1008,A1008,View Question List,Week 13(期末考) 中沒有問題 - PIPLS - /questions/2021-summer-初-級-程-式-設-計-python/week-13-期-末-考
202109182158,B1008,A1008,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109182158,B1008,A1008,View Resource,Week11 詳解 - PIPLS - /333425/week11
202109182158,B1008,A1008,View Resource,Week10 詳解 - PIPLS - /332892/week10
202109182213,B1014,A1014,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109182213,B1014,A1014,View Question,Week 12 Homework 6 - PIPLS - /333432/week-12-homework-6
202109182213,B1014,A1014,View Question,Week 12 Homework 7 - PIPLS - /333433/week-12-homework-7
202109182213,B1014,A1014,View Question List,Week 12 (考前練習，不計分) 中最新問題 - PIPLS - /questions/2021-summer-初-級-程-式-設-計-python/week-12-考-前-練-習-，-不-計-分
202109182247,B1045,A1045,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109182247,B1008,A1008,View PDF,第十二單元 投影片 - PIPLS - /332908
202109182247,B1008,A1008,View Resource,第十一單元投影片 - PIPLS - /332286
202109182247,B1008,A1008,View Resource,第十二單元 投影片 - PIPLS - /332908
202109182248,B1045,A1045,View Question List,No questions in Week 13(期末考) - PIPLS - /questions/2021-summer-初-級-程-式-設-計-python/week-13-期-末-考
202109182248,B1045,A1045,View Resource,Week10 詳解 - PIPLS - /332892/week10
202109182248,B1045,A1045,View Resource,期末考試規定 - PIPLS - /333746
202109182250,B1008,A1008,View PDF,第十一單元投影片 - PIPLS - /332286
202109182252,B1008,A1008,View PDF,第十一單元投影片 - PIPLS - /332286
202109182255,B1008,A1008,View PDF,第十一單元投影片 - PIPLS - /332286
202109182316,B1036,A1036,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109182316,B1036,A1036,View Resource,期末考試規定 - PIPLS - /333746
202109182317,B1036,A1036,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109182317,B1036,A1036,View Resource,Week7 詳解 - PIPLS - /331359/week7
202109182342,B1044,A1044,View Question,Week 12 Homework 5 - PIPLS - /333431/week-12-homework-5
202109182342,B1044,A1044,View Resource,第九單元 03 中文設定 - PIPLS - /331368/03
202109182343,B1036,A1036,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109182350,B1044,A1044,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109182350,B1044,A1044,View Question,Week 12 Homework 5 - PIPLS - /333431/week-12-homework-5
202109182351,B1036,A1036,View Resource,Week7 詳解 - PIPLS - /331359/week7
202109182351,B1044,A1044,View Resource,第九單元 04 點狀圖 - PIPLS - /331369/04
202109182358,B1021,A1021,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109182358,B1021,A1021,View Question,Week 12 Homework 8 - PIPLS - /333434/week-12-homework-8
202109182358,B1021,A1021,View Resource,期末考試規定 - PIPLS - /333746
202109182359,B1021,A1021,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109182359,B1021,A1021,View Question,Week 12 Homework 7 - PIPLS - /333433/week-12-homework-7
202109182359,B1021,A1021,View Question,Week 12 Homework 6 - PIPLS - /333432/week-12-homework-6
202109182359,B1021,A1021,View Question List,Week 12 (考前練習，不計分) 中最新問題 - PIPLS - /questions/2021-summer-初-級-程-式-設-計-python/week-12-考-前-練-習-，-不-計-分
202109190000,B1044,A1044,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109190000,B1044,A1044,View Resource,第九單元 05 長條圖 - PIPLS - /331370/05
202109190016,B1070,A1070,View Home,2021-1-C Language - PIPLS - /home_pipls
202109190016,B1070,A1070,View Page,2021-1-C Language User Management - 2021-1-C Language User Management - /admin/pipls_users_management
202109190016,B1070,A1070,View Page,管理中心 2021-1-C Language - PIPLS - /admin/pipls_courses_management
202109190016,B1070,A1070,View Page,沒有等待審核的內容 - PIPLS - /admin/moderate
202109190017,B1070,A1070,View Page,沒有等待審核的內容 - PIPLS - /admin/moderate
202109190017,B1070,A1070,View Question List,最新問題 - PIPLS - /questions
202109190017,B1070,A1070,View Select Course,選課 - PIPLS - /selectcourse
202109190100,B1048,A1048,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109190100,B1048,A1048,View Question List,Week 13(期末考) 中沒有問題 - PIPLS - /questions/2021-summer-初-級-程-式-設-計-python/week-13-期-末-考
202109190101,B1048,A1048,View Resource,期末考試規定 - PIPLS - /333746
202109190107,B1044,A1044,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109190219,B1005,A1005,View Question,Week 12 Homework 5 - PIPLS - /333431/week-12-homework-5
202109190222,B1005,A1005,View Question,Week 12 Homework 5 - PIPLS - /333431/week-12-homework-5
202109190737,B1077,A1077,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109190737,B1077,A1077,View Question List,No questions in Week 13(期末考) - PIPLS - /questions/2021-summer-初-級-程-式-設-計-python/week-13-期-末-考
202109190910,B1008,A1008,View Question,Week 12 Homework 7 - PIPLS - /333433/week-12-homework-7
202109190910,B1008,A1008,View Question,Week 12 Homework 8 - PIPLS - /333434/week-12-homework-8
202109190910,B1008,A1008,View Question,Week 12 Homework 6 - PIPLS - /333432/week-12-homework-6
202109190910,B1008,A1008,View Question List,Week 12 (考前練習，不計分) 中最新問題 - PIPLS - /questions/2021-summer-初-級-程-式-設-計-python/week-12-考-前-練-習-，-不-計-分
202109190910,B1008,A1008,View Resource,Week11 詳解 - PIPLS - /333425/week11
202109190910,B1008,A1008,View Resource,第十一單元投影片 - PIPLS - /332286
202109190910,B1008,A1008,View Resource,第十二單元 投影片 - PIPLS - /332908
202109190942,B1008,A1008,View PDF,第十二單元 投影片 - PIPLS - /332908
202109190943,B1008,A1008,View PDF,第七單元投影片 - PIPLS - /330120
202109190943,B1008,A1008,View PDF,第十單元投影片 - PIPLS - /331786
202109190943,B1008,A1008,View Resource,第七單元投影片 - PIPLS - /330120
202109190943,B1008,A1008,View Resource,第十單元投影片 - PIPLS - /331786
202109190943,B1008,A1008,View Resource,第八單元投影片 - PIPLS - /331420
202109190943,B1008,A1008,View Resource,第九單元投影片 - PIPLS - /331376
202109190944,B1008,A1008,View PDF,第七單元投影片 - PIPLS - /330120
202109191018,B1021,A1021,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109191018,B1021,A1021,View Resource,期末考試規定 - PIPLS - /333746
202109191023,B1042,A1042,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109191023,B1042,A1042,View Question,Week 12 Homework 6 - PIPLS - /333432/week-12-homework-6
202109191025,B1008,A1008,View PDF,第七單元投影片 - PIPLS - /330120
202109191026,B1008,A1008,View PDF,第七單元投影片 - PIPLS - /330120
202109191027,B1008,A1008,View PDF,第七單元投影片 - PIPLS - /330120
202109191030,B1008,A1008,View PDF,第七單元投影片 - PIPLS - /330120
202109191035,B1008,A1008,View PDF,第七單元投影片 - PIPLS - /330120
202109191036,B1008,A1008,View PDF,第七單元投影片 - PIPLS - /330120
202109191047,B1008,A1008,View PDF,第十單元投影片 - PIPLS - /331786
202109191047,B1008,A1008,View PDF,第八單元投影片 - PIPLS - /331420
202109191047,B1008,A1008,View PDF,第十一單元投影片 - PIPLS - /332286
202109191048,B1008,A1008,View PDF,第十一單元投影片 - PIPLS - /332286
202109191054,B1008,A1008,View PDF,第十一單元投影片 - PIPLS - /332286
202109191056,B1008,A1008,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109191056,B1008,A1008,View PDF,第六單元投影片 - PIPLS - /328987
202109191056,B1008,A1008,View Question List,Week 13(期末考) 中沒有問題 - PIPLS - /questions/2021-summer-初-級-程-式-設-計-python/week-13-期-末-考
202109191056,B1008,A1008,View Question List,Week 7 中最新問題 - PIPLS - /questions/2021-summer-初-級-程-式-設-計-python/week-7
202109191056,B1008,A1008,View Question List,Week 5 中最新問題 - PIPLS - /questions/2021-summer-初-級-程-式-設-計-python/week-5
202109191056,B1008,A1008,View Resource,第六單元投影片 - PIPLS - /328987
202109191057,B1008,A1008,View PDF,第六單元投影片 - PIPLS - /328987
202109191057,B1008,A1008,View PDF,第七單元投影片 - PIPLS - /330120
202109191101,B1008,A1008,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109191103,B1008,A1008,View Question,Week 12 Homework 6 - PIPLS - /333432/week-12-homework-6
202109191103,B1008,A1008,View Question,Week 12 Homework 7 - PIPLS - /333433/week-12-homework-7
202109191103,B1008,A1008,View Question,Week 12 Homework 8 - PIPLS - /333434/week-12-homework-8
202109191103,B1008,A1008,View Question List,Week 12 (考前練習，不計分) 中最新問題 - PIPLS - /questions/2021-summer-初-級-程-式-設-計-python/week-12-考-前-練-習-，-不-計-分
202109191105,B1014,A1014,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109191105,B1014,A1014,View Question,Week 12 Homework 6 - PIPLS - /333432/week-12-homework-6
202109191107,B1008,A1008,View PDF,第七單元投影片 - PIPLS - /330120
202109191108,B1008,A1008,View PDF,第七單元投影片 - PIPLS - /330120
202109191109,B1040,A1040,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109191109,B1040,A1040,View Resource,期末考試規定 - PIPLS - /333746
202109191110,B1070,A1070,View Home,2021-1-C Language - PIPLS - /home_pipls
202109191110,B1070,A1070,View Page,2021-1-C Language User Management - 2021-1-C Language User Management - /admin/pipls_users_management
202109191110,B1070,A1070,View Page,2021-1-C Language Messenger Notification - 2021-1-C Language Messenger Notification - /admin/pipls_messenger_admin
202109191110,B1070,A1070,View Page,沒有等待審核的內容 - PIPLS - /admin/moderate
202109191110,B1070,A1070,View Question List,最新問題 - PIPLS - /questions
202109191111,B1070,A1070,View Ask Page,提問: 2021-1-C Language - PIPLS - /ask
202109191111,B1070,A1070,View Discussion,遠距上課連結 - PIPLS - /333783
202109191111,B1070,A1070,View Discussion,老師&助教信箱 - PIPLS - /333778
202109191111,B1070,A1070,View Home,2021-1-C Language - PIPLS - /home_pipls
202109191111,B1070,A1070,View Question,課程宗旨 - PIPLS - /333792
202109191111,B1070,A1070,View Select Course,選課 - PIPLS - /selectcourse
202109191112,B1070,A1070,View Home,2021-1-C Language - PIPLS - /home_pipls
202109191112,B1070,A1070,View Question,關於課程.. - PIPLS - /333790
202109191113,B1070,A1070,View Discussion,遠距上課連結 - PIPLS - /333783
202109191113,B1070,A1070,View Home,2021-1-C Language - PIPLS - /home_pipls
202109191113,B1070,A1070,View Page,沒有等待審核的內容 - PIPLS - /admin/moderate
202109191113,B1070,A1070,View Question,課程宗旨 - PIPLS - /333792
202109191114,B1070,A1070,View Page,沒有等待審核的內容 - PIPLS - /admin/moderate
202109191114,B1070,A1070,View Page,管理中心 2021-1-C Language - PIPLS - /admin/pipls_courses_management
202109191114,B1070,A1070,View Question List,2021-1-C Language 中最新問題 - PIPLS - /questions/2021-1-c-language
202109191138,B1043,A1043,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109191138,B1043,A1043,View Question,Week 12 Homework 5 - PIPLS - /333431/week-12-homework-5
202109191144,B1078,A1078,View Discussion,遠距上課連結 - PIPLS - /333783
202109191144,B1078,A1078,View Home,2021-1-C Language - PIPLS - /home_pipls
202109191146,B1078,A1078,View Discussion,老師&助教信箱 - PIPLS - /333778
202109191146,B1078,A1078,View Home,2021-1-C Language - PIPLS - /home_pipls
